index,rkPic,rkK0,numZ,isExc,Zonotope,ExtTable
0,1,4,4,true,"{{3},{2},{1},{0}}","{{1,4,10,20},{0,1,4,10},{0,0,1,4},{0,0,0,1}}"
1,2,6,7,false,"{{1,2},{1,1},{1,0},{1,-1},{0,2},{0,1},{0,0}}","{{1,3,6,10,7,13,21},{0,1,3,6,3,7,13},{0,0,1,3,1,3,7},{T^2,0,0,1,T^2,1,3},{0,0,0,0,1,3,6},{0,0,0,0,0,1,3},{0,0,0,0,0,0,1}}"
2,2,6,6,true,"{{1,2},{1,1},{0,2},{1,0},{0,1},{0,0}}","{{1,3,4,6,9,16},{0,1,1,3,4,9},{0,0,1,0,3,6},{0,0,0,1,1,4},{0,0,0,0,1,3},{0,0,0,0,0,1}}"
3,2,6,6,true,"{{2,1},{2,0},{1,1},{1,0},{0,1},{0,0}}","{{1,2,4,7,10,16},{0,1,1,4,4,10},{0,0,1,2,4,7},{0,0,0,1,1,4},{0,0,0,0,1,2},{0,0,0,0,0,1}}"
4,2,6,6,true,"{{2,1},{2,0},{1,1},{1,0},{0,1},{0,0}}","{{1,2,3,6,6,12},{0,1,0,3,0,6},{0,0,1,2,3,6},{0,0,0,1,0,3},{0,0,0,0,1,2},{0,0,0,0,0,1}}"
5,3,8,8,true,"{{1,1,1},{1,0,1},{0,1,1},{0,0,1},{1,1,0},{1,0,0},{0,1,0},{0,0,0}}","{{1,2,2,4,5,8,8,13},{0,1,0,2,2,5,3,8},{0,0,1,2,2,3,5,8},{0,0,0,1,1,2,2,5},{0,0,0,0,1,2,2,4},{0,0,0,0,0,1,0,2},{0,0,0,0,0,0,1,2},{0,0,0,0,0,0,0,1}}"
6,3,8,8,true,"{{1,1,1},{0,1,1},{1,0,1},{1,1,0},{0,0,1},{0,1,0},{1,0,0},{0,0,0}}","{{1,2,3,4,5,7,9,14},{0,1,1,1,3,4,4,9},{0,0,1,1,2,2,4,7},{0,0,0,1,0,2,3,5},{0,0,0,0,1,1,1,4},{0,0,0,0,0,1,1,3},{0,0,0,0,0,0,1,2},{0,0,0,0,0,0,0,1}}"
7,3,8,8,true,"{{1,1,1},{1,1,0},{1,0,1},{1,0,0},{0,1,1},{0,1,0},{0,0,1},{0,0,0}}","{{1,2,2,4,2,4,4,8},{0,1,0,2,0,2,0,4},{0,0,1,2,0,0,2,4},{0,0,0,1,0,0,0,2},{0,0,0,0,1,2,2,4},{0,0,0,0,0,1,0,2},{0,0,0,0,0,0,1,2},{0,0,0,0,0,0,0,1}}"
8,3,8,8,true,"{{1,1,1},{1,1,0},{0,1,1},{0,1,0},{1,0,1},{1,0,0},{0,0,1},{0,0,0}}","{{1,2,2,4,3,6,5,10},{0,1,0,2,0,3,0,5},{0,0,1,2,1,2,3,6},{0,0,0,1,0,1,0,3},{0,0,0,0,1,2,2,4},{0,0,0,0,0,1,0,2},{0,0,0,0,0,0,1,2},{0,0,0,0,0,0,0,1}}"
9,3,8,8,true,"{{1,1,1},{1,1,0},{0,1,1},{0,1,0},{1,0,1},{1,0,0},{0,0,1},{0,0,0}}","{{1,2,2,4,4,7,7,12},{0,1,0,2,1,4,2,7},{0,0,1,2,1,2,4,7},{0,0,0,1,0,1,1,4},{0,0,0,0,1,2,2,4},{0,0,0,0,0,1,0,2},{0,0,0,0,0,0,1,2},{0,0,0,0,0,0,0,1}}"
10,3,8,9,false,"{{2,0,1},{1,1,0},{1,0,1},{0,1,0},{0,0,1},{2,0,0},{-1,1,0},{1,0,0},{0,0,0}}","{{1,1,3,3,6,4,6,9,16},{0,1,1,3,3,3,6,7,13},{0,0,1,1,3,1,3,4,9},{0,0,0,1,1,1,3,3,7},{0,0,0,0,1,0,1,1,4},{0,0,0,0,0,1,0,3,6},{T^2,0,0,0,0,T^2,1,1,3},{0,0,0,0,0,0,0,1,3},{0,0,0,0,0,0,0,0,1}}"
